runNo efftx1c1 effty1c1 effp3s1 effp3c1 effp2s1 effp2c1 effty2c1 efftx2c1 efftx1c2 effty1c2 effp3s2 effp3c2 effp2s2 effp2c2 effty2c2 efftx2c2 grade status/C HVTXY1 HVTXY2 HVP3 HVP2 THRTXY1 THRTXY2 THRP3 THRP2
129 0.9988 0.9969 0.0012 0.0005 0.0493 0.0039 0.9760 0.9939 1.0000 1.0000 0.0012 0.0005 0.0494 0.0039 1.0000 1.0000 9 test_run 1750 1750 1330 1330 3750 3750 3730 3770
130 0.9989 0.9967 0.0013 0.0027 0.0477 0.0116 0.9758 0.9940 1.0000 1.0000 0.0013 0.0027 0.0477 0.0118 1.0000 1.0000 9 test_run 1750 1750 1380 1380 3750 3750 3730 3770
131 0.9989 0.9970 0.0014 0.0086 0.0487 0.0260 0.9756 0.9939 1.0000 1.0000 0.0014 0.0087 0.0489 0.0264 1.0000 1.0000 9 test_run 1750 1750 1430 1430 3750 3750 3730 3770
132 0.9989 0.9970 0.0017 0.0218 0.0534 0.0605 0.9756 0.9940 1.0000 1.0000 0.0017 0.0221 0.0533 0.0612 1.0000 1.0000 9 test_run 1750 1750 1480 1480 3750 3750 3730 3770
133 0.9988 0.9968 0.0021 0.0454 0.0446 0.1351 0.9748 0.9936 1.0000 1.0000 0.0021 0.0455 0.0447 0.1353 1.0000 1.0000 9 test_run 1750 1750 1530 1530 3750 3750 3730 3770
134 0.9989 0.9969 0.0024 0.1125 0.0578 0.3231 0.9763 0.9942 1.0000 1.0000 0.0024 0.1135 0.0578 0.3266 1.0000 1.0000 9 test_run 1750 1750 1580 1580 3750 3750 3730 3770
135 0.9988 0.9968 0.0034 0.2512 0.0490 0.5493 0.9754 0.9937 1.0000 1.0000 0.0034 0.2533 0.0490 0.5531 1.0000 1.0000 9 test_run 1750 1750 1630 1630 3750 3750 3730 3770
136 0.9989 0.9969 0.0063 0.5109 0.0777 0.7197 0.9766 0.9941 1.0000 1.0000 0.0063 0.5134 0.0778 0.7222 1.0000 1.0000 9 test_run 1750 1750 1680 1680 3750 3750 3730 3770
137 0.9988 0.9968 0.0202 0.7120 0.1014 0.7868 0.9762 0.9941 1.0000 1.0000 0.0201 0.7144 0.1013 0.7887 1.0000 1.0000 9 test_run 1750 1750 1730 1730 3750 3750 3730 3770
138 0.9989 0.9966 0.0637 0.8029 0.1845 0.8233 0.9756 0.9937 1.0000 1.0000 0.0635 0.8048 0.1841 0.8251 1.0000 1.0000 9 test_run 1750 1750 1780 1780 3750 3750 3730 3770
139 0.9988 0.9965 0.0064 0.4993 0.0019 0.3049 0.9755 0.9938 1.0000 1.0000 0.0063 0.5018 0.0018 0.3079 1.0000 1.0000 9 test_run 1750 1750 1680 1630 3750 3750 3730 3730
140 0.9989 0.9967 0.0749 0.6439 0.0057 0.4210 0.9760 0.9941 1.0000 1.0000 0.0749 0.6467 0.0057 0.4248 1.0000 1.0000 9 test_run 1750 1750 1680 1630 3750 3750 3750 3750
141 0.9988 0.9968 0.6666 0.7579 0.0525 0.5483 0.9748 0.9936 1.0000 1.0000 0.6667 0.7607 0.0527 0.5523 1.0000 1.0000 9 test_run 1750 1750 1680 1630 3750 3750 3770 3770
142 0.9989 0.9967 0.0063 0.4992 0.0019 0.3052 0.9755 0.9939 1.0000 1.0000 0.0063 0.5017 0.0019 0.3082 1.0000 1.0000 1 beam_on 1750 1750 1680 1630 3750 3750 3730 3730
143 0.9989 0.9966 0.0068 0.5046 0.0019 0.3085 0.9760 0.9942 1.0000 1.0000 0.0068 0.5072 0.0019 0.3116 1.0000 1.0000 1 beam_on 1750 1750 1680 1630 3750 3750 3730 3730
144 0.9987 0.9968 0.0056 0.4916 0.0021 0.2981 0.9743 0.9935 1.0000 1.0000 0.0055 0.4945 0.0021 0.3013 1.0000 1.0000 1 beam_on 1750 1750 1680 1630 3750 3750 3730 3730
145 0.9990 0.9967 0.0060 0.5017 0.0020 0.3075 0.9742 0.9938 1.0000 1.0000 0.0060 0.5044 0.0020 0.3102 1.0000 1.0000 1 beam_on 1750 1750 1680 1630 3750 3750 3730 3730
146 0.9989 0.9968 0.0060 0.5001 0.0019 0.3057 0.9755 0.9941 1.0000 1.0000 0.0060 0.5025 0.0018 0.3087 1.0000 1.0000 1 beam_on 1750 1750 1680 1630 3750 3750 3730 3730
147 0.9990 0.9970 0.0050 0.4938 0.0021 0.3020 0.9747 0.9939 1.0000 1.0000 0.0050 0.4941 0.0020 0.3048 1.0000 1.0000 1 beam_on 1750 1750 1680 1630 3750 3750 3730 3730
148 0.0000 0.0030 0.0004 0.0000 0.0001 0.0000 0.0192 0.0001 -1 -1 -1 -1 -1 -1 -1 -1                                 5 pedestal 1750 1750 1600 1600 3750 3750 3730 3730
149 0.9995 0.9995 0.0002 0.0000 0.0003 0.0000 0.9885 0.9978 1.0000 1.0000 0.0002 0.0000 0.0003 0.0000 1.0000 1.0000 9 test_run 1750 1750 1600 1600 3750 3750 3730 3730
150 0.9993 0.9991 0.0004 0.0000 0.0005 0.0000 0.9860 0.9972 1.0000 1.0000 0.0004 0.0000 0.0005 0.0000 1.0000 1.0000 9 test_run 1750 1750 1650 1650 3750 3750 3730 3730
151 0.9991 0.9988 0.0002 0.0000 0.0003 0.0002 0.9838 0.9962 1.0000 1.0000 0.0002 0.0000 0.0003 0.0002 1.0000 1.0000 0 test_run 1750 1750 1700 1700 3750 3750 3730 3730
152 0.9990 0.9983 0.0003 0.0002 0.0007 0.0014 0.9830 0.9959 1.0000 1.0000 0.0003 0.0002 0.0007 0.0015 1.0000 1.0000 9 test_run 1750 1750 1750 1750 3750 3750 3730 3730
153 0.9989 0.9977 0.0003 0.0015 0.0006 0.0044 0.9812 0.9950 1.0000 1.0000 0.0003 0.0015 0.0006 0.0044 1.0000 1.0000 9 test_run 1750 1750 1800 1800 3750 3750 3730 3730
154 0.9988 0.9974 0.0005 0.0049 0.0010 0.0121 0.9804 0.9946 1.0000 1.0000 0.0006 0.0050 0.0010 0.0122 1.0000 1.0000 9 test_run 1750 1750 1850 1850 3750 3750 3730 3730
155 0.9986 0.9969 0.0007 0.0124 0.0012 0.0238 0.9796 0.9938 1.0000 1.0000 0.0007 0.0126 0.0012 0.0241 1.0000 1.0000 9 test_run 1750 1750 1900 1900 3750 3750 3730 3730
156 0.9987 0.9969 0.0010 0.0235 0.0016 0.0427 0.9783 0.9930 1.0000 1.0000 0.0010 0.0237 0.0016 0.0431 1.0000 1.0000 9 test_run 1750 1750 1950 1950 3750 3750 3730 3730
157 0.9985 0.9966 0.0013 0.0435 0.0017 0.0879 0.9786 0.9932 1.0000 1.0000 0.0013 0.0439 0.0017 0.0888 1.0000 1.0000 9 test_run 1750 1750 2000 2000 3750 3750 3730 3730
158 0.9985 0.9960 0.0015 0.0835 0.0025 0.1924 0.9776 0.9925 1.0000 1.0000 0.0015 0.0842 0.0025 0.1944 1.0000 1.0000 9 test_run 1750 1750 2050 2050 3750 3750 3730 3730
159 0.9984 0.9957 0.0019 0.1839 0.0029 0.3920 0.9774 0.9927 1.0000 1.0000 0.0019 0.1851 0.0029 0.3952 1.0000 1.0000 9 test_run 1750 1750 2100 2100 3750 3750 3730 3730
160 0.9984 0.9957 0.0026 0.3646 0.0034 0.5912 0.9767 0.9918 1.0000 1.0000 0.0026 0.3670 0.0034 0.5953 1.0000 1.0000 9 test_run 1750 1750 2150 2150 3750 3750 3730 3730
161 0.9984 0.9956 0.0046 0.5966 0.0049 0.7135 0.9764 0.9918 1.0000 1.0000 0.0046 0.6001 0.0048 0.7173 1.0000 1.0000 9 test_run 1750 1750 2200 2200 3750 3750 3730 3730
162 0.9982 0.9955 0.0105 0.7274 0.0088 0.7662 0.9748 0.9909 1.0000 1.0000 0.0105 0.7306 0.0086 0.7693 1.0000 1.0000 10 junk 1750 1750 2200 2200 3750 3750 3730 3730
163 0.9981 0.9952 0.0107 0.7314 0.0100 0.7685 0.9742 0.9911 1.0000 1.0000 0.0107 0.7356 0.0098 0.7725 1.0000 1.0000 9 test_run 1750 1750 2250 2250 3750 3750 3730 3730
164 0.9981 0.9946 0.0268 0.7908 0.0198 0.8029 0.9736 0.9907 1.0000 1.0000 0.0268 0.7957 0.0197 0.8077 1.0000 1.0000 9 test_run 1750 1750 2300 2300 3750 3750 3730 3730
165 0.9982 0.9945 0.0634 0.8291 0.0430 0.8310 0.9731 0.9906 1.0000 1.0000 0.0630 0.8342 0.0429 0.8361 1.0000 1.0000 9 test_run 1750 1750 2350 2350 3750 3750 3730 3730
166 0.9980 0.9949 0.1314 0.8556 0.0814 0.8497 0.9724 0.9909 1.0000 1.0000 0.1312 0.8571 0.0812 0.8509 1.0000 1.0000 9 test_run 1750 1750 2400 2400 3750 3750 3730 3730
167 0.9981 0.9944 0.2623 0.8768 0.1575 0.8647 0.9720 0.9903 1.0000 1.0000 0.2623 0.8781 0.1573 0.8659 1.0000 1.0000 99 test_run 1750 1750 2450 2450 3750 3750 3730 3730
168 0.9982 0.9941 0.5120 0.8940 0.3464 0.8831 0.9724 0.9903 1.0000 1.0000 0.5105 0.8994 0.3470 0.8885 1.0000 1.0000 9 test_run 1750 1750 2500 2500 3750 3750 3730 3730
169 0.9981 0.9945 0.7494 0.9168 0.5518 0.9104 0.9713 0.9899 1.0000 1.0000 0.7484 0.9215 0.5520 0.9153 1.0000 1.0000 9 test_run 1750 1750 2550 2550 3750 3750 3730 3730
170 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1                                                                 10 junk 1750 1750 2550 2550 3750 3750 3730 3730
171 0.9981 0.9942 0.9185 0.9440 0.7665 0.9475 0.9716 0.9900 1.0000 1.0000 0.9178 0.9471 0.7671 0.9513 1.0000 1.0000 10 junk 1750 1750 2550 2550 3750 3750 3730 3730
172 0.9983 0.9941 0.9213 0.9445 0.7737 0.9488 0.9720 0.9904 1.0000 1.0000 0.9205 0.9474 0.7738 0.9522 1.0000 1.0000 9 test_run 1750 1750 2600 2600 3750 3750 3730 3730
173 0.9991 0.9965 0.0009 0.0126 0.0007 0.0241 0.7408 0.9964 1.0000 1.0000 0.0010 0.0118 0.0007 0.0229 1.0000 1.0000 9 test_run 1800 1800 1900 1900 3750 3750 3730 3730
174 0.9995 0.9987 0.0007 0.0125 0.0008 0.0243 0.9620 0.9987 1.0000 1.0000 0.0007 0.0125 0.0008 0.0244 1.0000 1.0000 10 junk 1800 1800 1900 1900 3750 3750 3730 3730
175 0.9995 0.9987 0.0006 0.0124 0.0008 0.0246 0.9764 0.9988 1.0000 1.0000 0.0006 0.0124 0.0008 0.0248 1.0000 1.0000 9 test_run 1850 1850 1900 1900 3750 3750 3730 3730
