TTREE hmin
i/I h/I
0 	240
1 	235
2 	232
3 	233
4 	233
5 	235
6 	0
7	0
8	0
9	0
10	0
11	0
12	0
13 	245
14	260
15	245
16	0
17	0
18	260
19	260
20	275
21	0
22	0
23	0
24	260
25	260
26	255
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	260
41	250
42	250
43	0
44	0
45	270
46	260
47	270
48	0
49	0
50	0
51	260
52	280
53	280
54	0
55	0
56	0
57	0
58	0
59	0
60 	227
61 	230
62 	228
63 	220
64 	218
65 	220
TTREE para
 t01  t02  t03  t04 dxu dyu dxd dyd
-844.2 -846.5 -845.8 -841.5 0   0   0   0
TTREE xt
t d i/I n/I sig/D
 249.80174     -7.875          0        501  2.9453356 
 243.13709     -7.625          0       2099  4.6823626 
 236.95982     -7.375          0       2259  3.5522483 
 231.15803     -7.125          0       2680  3.1295513 
 225.33094     -6.875          0       3283  3.4349987 
 219.04604     -6.625          0       4190  3.6963365 
 211.73799     -6.375          0       4628  3.8413132 
 204.17943     -6.125          0       5474  3.3688916 
 197.79027     -5.875          0       6692  3.5192096 
 190.59543     -5.625          0       7328  3.8311466 
 181.94418     -5.375          0       7231  4.1218133 
 174.89022     -5.125          0       7600  4.0175129 
 167.29120     -4.875          0       8588  3.7463983 
 161.00312     -4.625          0       9193  3.6437697 
 151.94688     -4.375          0       8772  4.0943397 
 144.68063     -4.125          0       9184  4.2502992 
 136.72281     -3.875          0       8872  4.0780463 
 127.67424     -3.625          0       9570  5.1849088 
 120.84302     -3.375          0       9471  5.0596744 
 110.82870     -3.125          0      10984  4.0578956 
 99.746179     -2.875          0      10685  4.5016930 
 91.187883     -2.625          0      10499  4.3569950 
 82.037648     -2.375          0      10063  4.1792301 
 70.666753     -2.125          0       9914  5.3048482 
 60.291084     -1.875          0       9804  4.1724254 
 48.492769     -1.625          0       9138  4.0593766 
 40.729989     -1.375          0       7480  7.0128386 
 31.967307     -1.125          0       6250  3.3203934 
 23.467409     -0.875          0       4899  4.4042749 
 17.673769     -0.625          0       4179  3.6537472 
 12.612382     -0.375          0       2827  2.3992429 
 9.2527005     -0.125          0       1052  1.3360341 
 9.5155930      0.125          0       1076  1.3411586 
 12.393019      0.375          0       2781  3.0800027 
 17.812439      0.625          0       4111  3.3957370 
 23.533680      0.875          0       5173  4.3509907 
 32.172572      1.125          0       6904  3.5726238 
 42.108526      1.375          0       8661  7.1133111 
 48.361519      1.625          0      10085  3.7211493 
 60.401841      1.875          0      11115  4.6801085 
 70.752948      2.125          0      12202  5.0192930 
 82.179029      2.375          0      13040  4.5578197 
 91.366551      2.625          0      12727  5.0457043 
 100.36788      2.875          0      12718  5.7737171 
 110.53772      3.125          0      13021  3.8804858 
 120.28016      3.375          0      13062  5.2148370 
 127.51498      3.625          0      11964  5.5290694 
 136.87740      3.875          0      11417  4.1256198 
 144.80684      4.125          0      11393  4.2594346 
 152.21024      4.375          0      10311  4.5166515 
 161.17173      4.625          0      10937  4.1368738 
 167.56775      4.875          0       9801  3.8157630 
 175.20921      5.125          0       8695  4.1454482 
 182.50216      5.375          0       7665  4.6802281 
 190.93780      5.625          0       7055  4.1610559 
 197.58152      5.875          0       6419  3.6648972 
   204.101      6.125          0       4948  3.1811674 
 211.33344      6.375          0       3766  4.6972186 
 218.42578      6.625          0       3254  4.6444264 
 225.44033      6.875          0       2616  4.7009395 
 231.55370      7.125          0       2116  3.9341442 
 237.73306      7.375          0       1839  3.9071865 
 248.41954      7.625          0       1426  5.8811153 
 5.1998395      0.125          1        361  4.0339534 
 8.2505981      0.375          1       1969  5.3455809 
 15.161444      0.625          1       2306  5.5229438 
 21.073453      0.875          1       2677  3.9012460 
 32.231413      1.125          1       3267  3.6201912 
 43.856507      1.375          1       4179  4.4475001 
 49.802592      1.625          1       4611  5.6397239 
 62.125040      1.875          1       5513  5.2370409 
 72.716695      2.125          1       6679  6.6217979 
 83.723457      2.375          1       7349  4.2676231 
 92.240463      2.625          1       7299  4.5101169 
 101.18595      2.875          1       7583  6.8873246 
 110.51191      3.125          1       8588  4.0646258 
 119.62686      3.375          1       9202  4.5692423 
 126.09795      3.625          1       8726  3.4505678 
 133.99786      3.875          1       9248  4.1890710 
 141.56173      4.125          1       8904  4.0737784 
 148.05046      4.375          1       9608  3.6545637 
 156.13530      4.625          1       9408  3.9205393 
 163.19055      4.875          1      10916  3.1186081 
  168.7913      5.125          1      10658  2.9909595 
 175.52423      5.375          1      10441  3.1571762 
 181.73299      5.625          1      10057  4.3795681 
 189.89885      5.875          1       9682  3.6153656 
 195.70142      6.125          1       9841  3.1061415 
 201.67471      6.375          1       9087  3.0839281 
 207.22428      6.625          1       7599  3.2560926 
 213.51649      6.875          1       6257  3.6073394 
 219.57734      7.125          1       5074  3.8467757 
 225.79525      7.375          1       4189  4.1049063 
 233.18919      7.625          1       3024  6.6081661 
 239.68529      7.875          1       1090  4.6185461 
 244.60263     -7.875          2        877  2.5806786 
 235.57502     -7.625          2       2713  4.8159964 
 226.03821     -7.375          2       4115  7.2910488 
 219.93418     -7.125          2       5118  3.6556167 
